00001	0274	1	98
00004	0276	1	4
00006	0001	0	1
00007	0277	1	42
00008	0278	1	29
00009	0279	1	2
00013	0280	1	69
00025	0829a	2	86
00025b	0829b	2	1
00026	0282	1	31
00051	0283	1	37
00070	0284	1	4
00078	0285	1	14
00085	0286	1	3
00088	0287	1	41
00092	0002	0	1
00102	0288	1	44
00107	0003	0	1
00109	0289	1	2
00118	0290	1	9
00121	0291	1	6
00125	0292	1	7
00128	0831a	2	19
00128b	0831b	2	1
00129	0293	1	19
00132	0294	1	5
00133	0295	1	3
00135	0296	1	10
00152	0004	0	1
00154	0297	1	42
00168	0299	1	64
00170	0301	1	2
00175	0832a	2	36
00175b	0832b	2	1
00186	0005	0	1
00193	0302	1	24
00194	0303	1	88
00199	0298	1	3
00219	0006	0	1
00236	0305	1	7
00240	0306	1	11
00243	0307	1	2
00244	0007	0	1
00245	0308	1	8
00250	0309	1	26
00255	0310	1	317
00256	0317	1	23
00261	0008	0	1
00267	0009	0	1
00279	0318	1	6
00282	0833a	2	27
00282b	0833b	2	1
00299	0319	1	23
00301	0010	0	1
00321	0320	1	39
00345	0321	1	20
00350	0322	1	14
00368	0011	0	1
00385	0323	1	4
00387	0012	0	1
00405	0324	1	2
00406	0834a	2	9
00406b	0834b	2	1
00455	0013	0	1
00489	0835a	2	8
00489b	0835b	2	1
00503	0325	1	7
00513	0326	1	2
00516	0327	1	2
00520	0328	1	22
00542	0329	1	22
00562	0330	1	3
00566	0014	0	1
00567	0331	1	39
00582	0332	1	27
00585	0015	0	1
00591	0333	1	3
00594	0334	1	19
00597	0335	1	16
00599	0336	1	5
00602	0016	0	1
00605	0337	1	41
00606	0338	1	12
00608	0339	1	2
00723	0340	1	25
00734	0341	1	12
00735	0342	1	26
00759	0343	1	3
00763	0344	1	11
00767	0345	1	77
00769	0347	1	2
00776	0017	0	1
00781	0348	1	2
00783	0018	0	1
00787	0019	0	1
00789	0349	1	6
00794	0020	0	1
00803	0021	0	1
00856	0350	1	26
00857	0022	0	1
00858	0351	1	4
00863	0352	1	2
00865	0353	1	19
00881	0354	1	3
00885	0355	1	9
00887	0356	1	8
00893	0023	0	1
00898	0357	1	2
00900	0836a	2	1
00900b	0836b	2	1
00919	0358	1	3
00938	0359	1	13
00985	0360	1	23
00987	0361	1	42
01010	0362	1	2
01034	0024	0	1
01049	0363	1	11
01088	0364	1	3
01101	0365	1	11
01108	0837a	2	26
01108b	0837b	2	1
01109	0366	1	4
01111	0367	1	46
01127	0025	0	1
01128	0368	1	13
01141	0026	0	1
01154	0369	1	15
01168	0370	1	16
01170	0371	1	9
01172	0027	0	1
01174	0372	1	4
01175	0373	1	38
01179	0028	0	1
01212	0374	1	2
01217	0375	1	2
01219	0376	1	11
01235	0377	1	2
01252	0029	0	1
01263	0378	1	2
01276	0030	0	1
01288	0379	1	6
01305	0031	0	1
01333	0032	0	1
01349	0380	1	21
01369	0381	1	11
01395	0382	1	23
01412	0383	1	18
01421	0384	1	13
01479	0033	0	1
01581	0385	1	12
01607	0386	1	18
01611	0387	1	28
01627	0388	1	4
01639	0389	1	7
01641	0034	0	1
01644	0035	0	1
01654	0390	1	19
01659	0391	1	12
01666	0392	1	3
01682	0393	1	7
01683	0036	0	1
01710	0394	1	2
01726	0037	0	1
01740	0038	0	1
01767	0395	1	5
01789	0396	1	2
01796	0397	1	4
01798	0398	1	5
01816	0838a	2	8
01816b	0838b	2	3
01823	0399	1	8
01851	0400	1	3
01853	0401	1	9
01863	0402	1	5
01903	0403	1	2
01938	0404	1	16
01939	0405	1	9
01946	0406	1	69
01947	0408	1	44
01949	0039	0	1
01957	0409	1	2
01961	0839a	2	5
01961b	0839b	2	2
01973	0040	0	1
01974	0410	1	3
02024	0041	0	1
02029	0411	1	2
02031	0412	1	106
02033	0415	1	3
02040	0042	0	1
02041	0043	0	1
02045	0416	1	45
02061	0044	0	1
02062	0045	0	1
02069	0046	0	1
02077	0417	1	3
02105	0418	1	4
02110	0419	1	2
02142	0420	1	30
02151	0047	0	1
02201	0421	1	2
02262	0422	1	52
02267	0424	1	4
02282	0048	0	1
02293	0425	1	3
02309	0426	1	7
02325	0427	1	7
02327	0428	1	4
02333	0429	1	11
02342	0049	0	1
02347	0050	0	1
02349	0430	1	6
02357	0431	1	8
02366	0051	0	1
02383	0052	0	1
02390	0432	1	15
02392	0053	0	1
02407	0433	1	16
02425	0054	0	1
02429	0434	1	43
02430	0435a	2	1
02430b	0435b	2	1
02436	0436	1	7
02439	0437	1	17
02440	0438	1	3
02446	0055	0	1
02453	0056	0	1
02464	0439	1	5
02469	0058	0	1
02473	0440	1	17
02478	0059	0	1
02515	0441	1	14
02528	0442	1	5
02564	0060	0	1
02625	0061	0	1
02775	0443	1	2
02780	0062	0	1
02782	0063	0	1
02783	0444	1	43
02800	0445	1	5
02806	0446	1	8
02820	0064	0	1
02835	0447	1	26
02847	0448	1	12
02869	0065	0	1
02881	0449	1	2
02882	0066	0	1
02897	0450	1	7
02899	0067	0	1
02902	0451	1	4
02944	0452	1	26
02946	0453	1	4
02989	0454	1	7
02992	0068	0	1
02993	0888a	3	7
02993b	0888b	3	1
02993c	0888c	3	1
03005	0069	0	1
03006	0070	0	1
03008	0455	1	2
03037	0071	0	1
03044	0456	1	3
03046	0457	1	52
03052	0459	1	8
03084	0460	1	10
03101	0461	1	2
03109	0072	0	1
03124	0462	1	9
03128	0073	0	1
03132	0463	1	2
03138	0464	1	19
03145	0465	1	54
03151	0467	1	16
03153	0074	0	1
03157	0468	1	4
03159	0840a	2	28
03159b	0840b	2	1
03165	0841a	2	8
03165b	0841b	2	4
03172	0469	1	12
03179	0470	1	43
03180	0471	1	3
03184	0472	1	4
03192	0473	1	2
03194	0474	1	5
03196	0475	1	2
03208	0075	0	1
03214	0476	1	17
03233	0076	0	1
03237	0077	0	1
03239	0477	1	17
03240	0478	1	2
03244	0479	1	8
03267	0480	1	8
03297	0481	1	5
03298	0078	0	1
03309	0482	1	2
03312	0842a	2	10
03312b	0842b	2	1
03320	0079	0	1
03326	0483	1	4
03335	0484	1	3
03355	0485	1	5
03364	0080	0	1
03365	0486	1	7
03367	0487	1	11
03372	0843a	2	3
03372b	0843b	2	2
03395	0488	1	17
03405	0489	1	4
03414	0081	0	1
03438	0490	1	3
03439	0082	0	1
03453	0083	0	1
03458	0491	1	10
03462	0492	1	20
03466	0084	0	1
03469	0493	1	2
03471	0494	1	2
03486	0085	0	1
03544	0495	1	3
03549	0496	1	3
03550	0497	1	8
03585	0844a	2	3
03585b	0844b	2	1
03586	0086	0	1
03610	0498	1	30
03611	0499	1	72
03612	0501	1	5
03617	0502	1	18
03636	0503	1	3
03647	0504	1	89
03659	0506	1	2
03661	0087	0	1
03666	0088	0	1
03757	0507	1	2
03761	0089	0	1
03780	0508	1	12
03783	0090	0	1
03835	0509	1	6
03843	0091	0	1
03855	0510	1	4
03858	0511	1	10
03896	0512	1	12
03927	0092	0	1
04009	0513	1	17
04087	0514	1	3
04192	0093	0	1
04216	0515	1	7
04233	0516	1	10
04243	0517	1	47
04261	0845a	2	15
04261b	0845b	2	2
04280	0518	1	4
04286	0846a	2	10
04286b	0846b	2	2
04296	0847a	2	2
04296b	0847b	2	1
04298	0519	1	35
04319	0094	0	1
04321	0520	1	13
04373	0521	1	13
04376	0095	0	1
04381	0848a	2	3
04381b	0848b	2	1
04385	0522	1	52
04389	0524	1	79
04391	0526	1	13
04398	0096	0	1
04412	0097	0	1
04442	0527	1	2
04446	0528	1	17
04453	0529	1	2
04485	0530	1	25
04490	0531	1	2
04505	0532	1	10
04512	0533	1	153
04523	0537	1	58
04557	0539	1	9
04569	0540	1	30
04621	0541	1	3
04623	0098	0	1
04640	0099	0	1
04650	0542	1	11
04651	0100	0	1
04654	0101	0	1
04660	0849a	2	10
04660b	0849b	2	1
04661	0543	1	22
04664	0544	1	8
04667	0545	1	11
04673	0546	1	16
04674	0547	1	86
04679	0549	1	2
04707	0550	1	3
04711	0551	1	23
04712	0102	0	1
04713	0552	1	15
04738	0103	0	1
04765	0553	1	5
04803	0554	1	7
04806	0555	1	5
04807	0556	1	2
04849	0557	1	3
04904	0104	0	1
04918	0850a	2	2
04918b	0850b	2	1
04922	0558	1	9
04942	0105	0	1
04993	0559	1	2
05010	0560	1	11
05014	0561	1	2
05080	0106	0	1
05152	0851a	2	3
05152b	0851b	2	2
05154	0107	0	1
05228	0562	1	19
05279	0563	1	18
05291	0108	0	1
05293	0564	1	10
05323	0565	1	2
05391	0566	1	3
05519	0109	0	1
05558	0567	1	5
05561	0568	1	3
05580	0569	1	38
05587	0110	0	1
05609	0111	0	1
05612	0852a	2	7
05612b	0852b	2	2
05639	0853a	2	8
05639b	0853b	2	6
05641	0570	1	8
05643	0571	1	10
05644	0572	1	62
05666	0112	0	1
05676	0574	1	2
05686	0575	1	7
05717	0576	1	18
05734	0113	0	1
05795	0114	0	1
05809	0115	0	1
05834	0116	0	1
05839	0117	0	1
05841	0577	1	32
05845	0118	0	1
05867	0578	1	3
05952	0119	0	1
05957	0120	0	1
05964	0854a	2	33
05964b	0854b	2	1
05983	0579	1	18
05986	0121	0	1
06003	0855a	2	3
06003b	0855b	2	2
06015	0122	0	1
06023	0123	0	1
06031	0580	1	15
06045	0124	0	1
06058	0125	0	1
06063	0126	0	1
06074	0581	1	157
06086	0585	1	7
06088	0586	1	2
06151	0127	0	1
06179	0128	0	1
06189	0587	1	19
06272	0856	1	17
06285	0588	1	27
06290	0589	1	6
06335	0590	1	3
06381	0129	0	1
06432	0591	1	21
06476	0592	1	10
06481	0130	0	1
06487	0593	1	9
06490	0594	1	14
06499	0857a	2	7
06499b	0857b	2	3
06517	0595	1	4
06617	0596	1	9
06641	0597	1	2
06776	0598	1	2
06872	0599	1	149
06885	0858a	2	9
06885b	0858b	2	1
06918	0602	1	13
06921	0603	1	2
06971	0604	1	15
07025	0131	0	1
07032	0859a	2	45
07032b	0859b	2	18
07035	0132	0	1
07043	0605	1	29
07072	0133	0	1
07086	0134	0	1
07103	0135	0	1
07180	0606	1	3
07203	0607	1	3
07212	0608	1	3
07230	0609	1	2
07262	0610	1	55
07274	0136	0	1
07284	0137	0	1
07287	0138	0	1
07291	0612	1	5
07304	0613	1	21
07308	0614	1	3
07327	0139	0	1
07328	0140	0	1
07329	0141	0	1
07339	0142	0	1
07342	0861a	2	1
07342b	0861b	2	1
07343	0143	0	1
07346	0615	1	7
07353	0862a	2	1
07353b	0862b	2	1
07356	0144	0	1
07366	0616	1	3
07415	0145	0	1
07445	0146	0	1
07457	0617	1	11
07461	0618	1	72
07469	0147	0	1
07479	0620	1	4
07480	0148	0	1
07483	0621	1	3
07501	0622	1	17
07503	0623	1	5
07520	0149	0	1
07522	0150	0	1
07525	0863a	2	3
07525b	0863b	2	1
07530	0864a	2	5
07530b	0864b	2	1
07535	0624	1	44
07559	0625	1	16
07583	0151	0	1
07598	0626	1	2
07685	0627	1	3
07707	0628	1	6
07709	0629	1	9
07710	0630	1	24
07717	0865a	2	27
07717b	0865b	2	25
07759	0631	1	3
07770	0152	0	1
07779	0632	1	17
07790	0633	1	2
07796	0634	1	2
07799	0635	1	2
07801	0636	1	32
07813	0637	1	5
07827	0638	1	5
07828	0153	0	1
07839	0639	1	14
07843	0640	1	2
07844	0867a	2	121
07844b	0867b	2	1
07860	0154	0	1
07870	0155	0	1
07882	0156	0	1
07907	0641	1	4
07938	0158	0	1
07941	0643	1	58
07954	0159	0	1
07986	0645	1	3
08000	0870a	2	1
08000b	0870b	2	1
08060	0871a	2	1
08060b	0871b	2	1
08077	0160	0	1
08097	0646	1	12
08107	0647	1	3
08116	0161	0	1
08124	0648	1	14
08148	0649	1	6
08162	0650	1	6
08165	0651	1	4
08233	0162	0	1
08239	0163	0	1
08244	0652	1	64
08248	0654	1	9
08256	0164	0	1
08269	0655	1	3
08293	0656	1	8
08296	0657	1	2
08329	0165	0	1
08354	0658	1	2
08365	0659	1	7
08371	0660	1	2
08376	0166	0	1
08382	0661	1	2
08396	0167	0	1
08400	0168	0	1
08412	0662	1	11
08423	0169	0	1
08426	0663	1	56
08437	0665	1	2
08474	0170	0	1
08504	0171	0	1
08577	0172	0	1
08685	0666	1	8
08712	0173	0	1
08713	0174	0	1
08753	0667	1	2
08795	0668	1	2
08807	0669	1	3
08841	0175	0	1
08856	0670	1	23
08885	0671	1	2
08906	0672	1	8
08924	0872a	2	32
08924b	0872b	2	1
08963	0176	0	1
08982	0177	0	1
09020	0178	0	1
09047	0179	0	1
09061	0180	0	1
09085	0673	1	2
09125	0181	0	1
09132	0182	0	1
09144	0674	1	70
09155	0676	1	2
09175	0183	0	1
09177	0677	1	24
09214	0678	1	3
09250	0679	1	2
09255	0680	1	47
09257	0184	0	1
09264	0681	1	42
09286	0682	1	5
09290	0185	0	1
09292	0683	1	2
09308	0684	1	9
09314	0186	0	1
09315	0685	1	44
09328	0686	1	12
09335	0873a	2	7
09335b	0873b	2	1
09348	0187	0	1
09395	0188	0	1
09429	0687	1	34
09462	0874a	2	11
09462b	0874b	2	9
09463	0688	1	8
09544	0189	0	1
09554	0190	0	1
09596	0191	0	1
09599	0192	0	1
09602	0689	1	28
09610	0690	1	14
09629	0691	1	19
09630	0193	0	1
09632	0194	0	1
09638	0692	1	60
09665	0694	1	2
09716	0695	1	3
09758	0195	0	1
09788	0696	1	45
09789	0697	1	15
09807	0196	0	1
09846	0197	0	1
09869	0889a	3	3
09869b	0889b	3	1
09869c	0889c	3	1
09886	0198	0	1
09919	0698	1	84
09921	0700	1	25
09954	0701	1	33
09966	0702	1	6
09972	0703	1	13
09982	0199	0	1
10040	0704	1	2
10050	0705	1	3
10088	0200	0	1
10139	0706	1	2
10163	0707	1	82
10164	0709	1	2
10191	0875a	2	4
10191b	0875b	2	1
10192	0710	1	6
10204	0711	1	2
10270	0712	1	11
10272	0713	1	4
10276	0714	1	11
10414	0715	1	3
10521	0716	1	2
10614	0717	1	28
10637	0718	1	2
10683	0201	0	1
10822	0719	1	3
10831	0720	1	73
10837	0202	0	1
10848	0722	1	3
10856	0723	1	3
10859	0876a	2	6
10859b	0876b	2	1
10860	0203	0	1
10875	0724	1	19
10890	0725	1	30
10914	0726	1	5
10928	0727	1	2
10936	0728	1	13
10959	0204	0	1
10967	0729	1	8
10974	0205	0	1
10984	0206	0	1
11006	0207	0	1
11008	0730	1	2
11017	0731	1	7
11023	0732	1	4
11025	0733	1	132
11028	0736	1	3
11038	0208	0	1
11041	0209	0	1
11049	0877a	2	1
11049b	0877b	2	1
11072	0737	1	2
11085	0738	1	210
11095	0743	1	7
11119	0744	1	2
11155	0745	1	4
11171	0210	0	1
11189	0746	1	11
11195	0747	1	4
11200	0878a	2	5
11200b	0878b	2	2
11207	0748	1	2
11229	0749	1	9
11253	0750	1	2
11283	0211	0	1
11311	0212	0	1
11328	0213	0	1
11329	0751	1	2
11338	0214	0	1
11342	0752	1	7
11386	0215	0	1
11404	0216	0	1
11445	0217	0	1
11461	0879a	2	11
11461b	0879b	2	1
11471	0218	0	1
11485	0880a	2	8
11485b	0880b	2	1
11495	0753	1	16
11502	0754	1	3
11515	0755	1	2
11619	0219	0	1
11715	0756	1	21
11740	0757	1	2
11750	0220	0	1
11763	0758	1	4
11823	0221	0	1
11826	0759	1	2
11827	0760	1	7
11841	0222	0	1
11846	0223	0	1
11856	0761	1	9
11898	0762	1	7
11914	0224	0	1
11916	0225	0	1
11918	0763	1	3
11948	0764	1	3
11960	0765	1	15
11965	0226	0	1
11974	0766	1	2
11982	0767	1	6
12000	0768	1	8
12001	0227	0	1
12003	0228	0	1
12004	0229	0	1
12010	0230	0	1
12019	0769	1	2
12022	0770	1	8
12027	0231	0	1
12030	0232	0	1
12040	0771	1	4
12042	0233	0	1
12046	0772	1	12
12051	0773	1	76
12052	0775	1	4
12070	0776	1	4
12079	0234	0	1
12082	0235	0	1
12115	0777	1	2
12134	0778	1	13
12139	0779	1	2
12176	0780	1	3
12327	0236	0	1
12371	0781	1	4
12373	0782	1	14
12374	0237	0	1
12376	0783	1	55
12380	0785	1	6
12406	0786	1	4
12418	0240	0	1
12437	0241	0	1
12440	0787	1	2
12445y6	0239	0	1
12451	0788	1	2
12453	0789	1	2
12526	0242	0	1
12528	0243	0	1
12555	0244	0	1
12629	0245	0	1
12654	0246	0	1
12673	0247	0	1
12698	0790	1	3
12709	0791	1	5
12716	0792	1	5
12722	0793	1	2
12724	0881a	2	11
12724b	0881b	2	4
12774	0794	1	3
12800	0795	1	9
12830	0796	1	35
12831	0797	1	17
12855	0798	1	9
12864	0799	1	2
12867	0248	0	1
12913	0882a	2	1
12913b	0882b	2	1
12927	0883a	2	12
12927b	0883b	2	1
12929	0249	0	1
12935	0800	1	3
12961	0250	0	1
12963	0251	0	1
12988	0252	0	1
12991	0884a	2	4
12991b	0884b	2	1
12997	0253	0	1
13001	0801	1	5
13002	0885a	2	15
13002b	0885b	2	11
13012	0802	1	8
13036	0803	1	4
13073	0254	0	1
13103	0255	0	1
13104	0804	1	10
13107	0805	1	2
13108	0256	0	1
13237	0257	0	1
13281	0806	1	11
13293	0258	0	1
13296	0259	0	1
13297	0260	0	1
13302	0807	1	4
13304	0886a	2	3
13304b	0886b	2	1
13307	0261	0	1
13325	0808	1	3
13327	0262	0	1
13346	0809	1	2
13359	0263	0	1
13391	0810	1	16
13398	0811	1	6
13416	0264	0	1
13423	0265	0	1
13503	0812	1	2
13526	0267	0	1
13542	0813	1	6
13551	0814a	2	21
13551b	0814b	2	1
13565	0815	1	14
13586y2	0266	0	1
13641	0816	1	3
13667	0817	1	4
13680	0268	0	1
13708	0818	1	2
13733	0269	0	1
13813	0270	0	1
13845	0819	1	4
13852	0820	1	2
13934	0821	1	2
13940	0822	1	2
13959	0271	0	1
14002	0272	0	1
14061	0823	1	4
14088	0887a	2	1
14088b	0887b	2	1
14379	0824	1	2
14681	0273	0	1
14720	0825	1	2
14775	0826	1	4
14809	0827	1	2
14876	0828	1	20
