00001	0101	1	24
00008	0102	1	33
00009	0103	1	3
00013	0104	1	170
00025	0108	1	77
00026	0110	1	306
00051	0117	1	48
00078	0118	1	32
00085	0119	1	24
00088	0120	1	7
00109	0121	1	5
00121	0495a	2	23
00121b	0495b	2	1
00125	0001	0	1
00128	0002	0	1
00133	0122	1	46
00154	0496a	2	6
00154b	0496b	2	5
00168	0123	1	34
00175	0124	1	32
00183	0125	1	6
00193	0126	1	4
00194	0127	1	99
00199	0003	0	1
00230	0004	0	1
00233	0005	0	1
00235	0129	1	20
00236	0006	0	1
00245	0130	1	24
00250	0131	1	68
00255	0133	1	25
00256	0134	1	69
00282	0136	1	5
00299	0137	1	12
00321	0138	1	26
00373	0007	0	1
00385	0008	0	1
00503	0139	1	37
00516	0140	1	46
00566	0141	1	3
00582	0142	1	49
00585	0143	1	8
00597	0144	1	86
00599	0146	1	2
00605	0147	1	28
00606	0148	1	38
00672	0149	1	2
00734	0150	1	2
00759	0151	1	48
00769	0152	1	19
00773	0009	0	1
00776	0153	1	24
00782	0154	1	3
00794	0155	1	2
00824	0156	1	2
00985	0157	1	24
00994	0158	1	5
01038	0159	1	3
01049	0160	1	21
01088	0161	1	16
01101	0162	1	28
01109	0163	1	57
01111	0165	1	2
01127	0166	1	26
01128	0497a	2	40
01128b	0497b	2	22
01141	0167	1	16
01143	0168	1	24
01154	0010	0	1
01158	0169	1	18
01172	0170	1	113
01179	0011	0	1
01197	0173	1	6
01212	0012	0	1
01219	0174	1	24
01245	0175	1	49
01252	0176	1	9
01312	0177	1	9
01369	0178	1	4
01410	0499a	2	5
01410b	0499b	2	1
01412	0013	0	1
01503	0179	1	3
01506	0014	0	1
01600	0180	1	2
01607	0015	0	1
01611	0181	1	47
01639	0182	1	26
01644	0183	1	24
01659	0184	1	61
01666	0186	1	2
01682	0187	1	77
01683	0189	1	3
01710	0016	0	1
01796	0190	1	3
01833	0191	1	2
01863	0192	1	3
01903	0193	1	76
01934	0195	1	17
01938	0196	1	37
01939	0197	1	16
01946	0198	1	19
01954	0017	0	1
02006	0018	0	1
02029	0199	1	16
02031	0200	1	132
02051	0019	0	1
02105	0203	1	46
02142	0204	1	4
02149	0020	0	1
02203	0205	1	43
02262	0206	1	24
02277	0207	1	24
02293	0208	1	23
02332	0021	0	1
02349	0209	1	16
02352	0210	1	5
02429	0211	1	76
02439	0213	1	3
02440	0214	1	29
02464	0215	1	16
02472	0216	1	2
02473	0217	1	77
02482	0219	1	76
02774	0221	1	18
02782	0222	1	10
02783	0223	1	87
02796	0022	0	1
02835	0225	1	3
02899	0226	1	7
02902	0023	0	1
02907	0024	0	1
02924	0025	0	1
02932	0026	0	1
02944	0227	1	3
03008	0500a	2	2
03008b	0500b	2	1
03037	0228	1	48
03065	0229	1	8
03084	0230	1	48
03101	0231	1	2
03124	0232	1	14
03128	0233	1	51
03132	0235	1	3
03138	0027	0	1
03145	0236	1	33
03159	0028	0	1
03179	0237	1	26
03194	0029	0	1
03214	0030	0	1
03286	0031	0	1
03320	0032	0	1
03329	0238	1	2
03367	0501a	2	2
03367b	0501b	2	2
03372	0239	1	24
03373	0240	1	4
03395	0241	1	7
03405	0242	1	2
03414	0243	1	45
03453	0244	1	45
03550	0245	1	46
