00001	0372	1	64
00004	0377	1	3
00007	0380	1	19
00008	0378	1	28
00009	0379	1	16
00013	0375	1	73
00020	0381	1	12
00025	0374	1	9
00051	0382	1	36
00069	0001	0	1
00070	0383	1	21
00078	0392	1	62
00085	0394	1	12
00088	0384	1	355
00092	0395	1	20
00102	0398	1	4
00104	0003	0	1
00108	0399	1	3
00109	0396	1	67
00113	0400	1	4
00118	0002	0	1
00128	0401	1	23
00129	0402	1	23
00132	0406	1	20
00133	0404	1	44
00135	0403	1	14
00136	0405	1	9
00150	0407	1	3
00154	0408	1	32
00168	0432	1	37
00173	0009	0	1
00175	0409	1	28
00176	0005	0	1
00177	0420	1	4
00182	0010	0	1
00183	0425	1	2
00192	0416	1	10
00193	0415	1	8
00194	0412	1	138
00199	0442	1	4
00206	0011	0	1
00209	0419	1	5
00213	0411	1	7
00217	0427	1	7
00219	0447	1	2
00230	0013	0	1
00233	0014	0	1
00235	0445	1	2
00236	0016	0	1
00238	0019	0	1
00240	0424	1	3
00244	0012	0	1
00245	0430	1	8
00246	0438	1	2
00250	0417	1	27
00253	0446	1	7
00256	0410	1	26
00258	0006	0	1
00260	0433	1	3
00263	0209	0	1
00264	0026	0	1
00267	0020	0	1
00279	0441	1	21
00282	1182a	2	21
00282b	1182b	2	18
00288	0422	1	6
00299	0418	1	4
00301	0423	1	11
00321	0421	1	8
00325	0023	0	1
00345	0018	0	1
00349	0434	1	2
00350	0024	0	1
00351	0426	1	4
00360	0021	0	1
00368	0017	0	1
00369	0431	1	2
00373	0436	1	3
00378	0429	1	2
00382	0015	0	1
00391	0022	0	1
00405	0004	0	1
00417	0027	0	1
00449	0444	1	2
00450	0028	0	1
00455	0008	0	1
00471	0025	0	1
00475	0435	1	3
00483	0428	1	4
00493	0007	0	1
00516	0437	1	2
00542	0443	1	3
00561	0448	1	52
00566	0452	1	19
00567	0453	1	4
00574	0450	1	64
00582	0455	1	25
00585	0454	1	12
00589	0456	1	2
00591	0457	1	3
00594	0460	1	38
00599	0462	1	6
00605	0458	1	100
00606	0461	1	5
00613	0463	1	4
00616	0029	0	1
00636	0030	0	1
00696	0031	0	1
00701	0464	1	6
00718	0032	0	1
00723	0465	1	71
00729	0467	1	4
00734	0468	1	3
00735	0033	0	1
00736	0034	0	1
00759	0478	1	5
00763	0472	1	8
00767	0474	1	12
00769	0471	1	21
00776	0477	1	2
00789	0469	1	71
00791	0035	0	1
00794	0473	1	13
00818	0476	1	3
00843	0475	1	5
00857	0036	0	1
00858	0481	1	4
00863	0037	0	1
00884	0480	1	19
00893	0479	1	18
00898	0482	1	3
00918	0038	0	1
00919	0483	1	10
00930	0040	0	1
00932	0039	0	1
00938	0484	1	4
00985	0485	1	18
00987	0486	1	15
01004	0041	0	1
01019	0487	1	2
01022	0488	1	2
01035	0490	1	2
01049	0489	1	36
01058	0042	0	1
01068	0043	0	1
01074	0491	1	18
01101	0492	1	19
01108	0495	1	18
01111	0493	1	28
01112	0496	1	4
01116	0494	1	2
01127	0497	1	14
01128	0498	1	6
01141	0500	1	17
01143	0047	0	1
01150	0527	1	10
01154	0518	1	28
01168	0515	1	2
01170	0503	1	9
01174	0510	1	3
01175	0504	1	23
01179	0502	1	11
01185	0513	1	11
01187	0526	1	2
01188	0512	1	4
01189	0048	0	1
01217	0522	1	89
