00001	0270	1	27
00004	0271	1	11
00007	0267	1	40
00008	0268	1	14
00009	0265	1	5
00013	0266	1	35
00025	0764a	2	50
00025b	0764b	2	10
00026	0264	1	6
00051	0272	1	26
00078	0275	1	5
00085	0276	1	4
00088	0274	1	28
00092	0001	0	1
00102	0273	1	3
00107	0003	0	1
00109	0002	0	1
00118	0766a	2	4
00118b	0766b	2	1
00121	0767a	2	1
00121b	0767b	2	1
00125	0004	0	1
00128	0277	1	4
00129	0278	1	26
00133	0279	1	3
00135	0280	1	5
00154	0281	1	22
00166	0005	0	1
00168	0282	1	70
00170	0314	1	2
00175	0313	1	12
00183	0311	1	3
00185	0006	0	1
00193	0312	1	17
00194	0302	1	33
00199	0008	0	1
00206	0292	1	2
00213	0295	1	5
00216	0294	1	3
00217	0011	0	1
00233	0303	1	3
00236	0306	1	18
00240	0304	1	2
00245	0310	1	5
00250	0309	1	10
00255	0287	1	101
00256	0286	1	18
00279	0296	1	4
00282	0285	1	14
00288	0305	1	2
00299	0308	1	12
00301	0007	0	1
00317	0768a	2	5
00317b	0768b	2	1
00321	0297	1	9
00345	0291	1	4
00350	0307	1	8
00385	0299	1	8
00405	0009	0	1
00406	0300	1	7
00411	0010	0	1
00503	0293	1	9
00513	0301	1	2
00520	0284	1	14
00542	0290	1	5
00567	0316	1	8
00574	0012	0	1
00579	0315	1	3
00582	0318	1	3
00585	0319	1	2
00594	0320	1	8
00597	0321	1	6
00599	0324	1	6
00605	0322	1	41
00606	0323	1	8
00608	0769a	2	3
00608b	0769b	2	1
00646	0013	0	1
00671	0326	1	2
00723	0327	1	13
00729	0328	1	2
00734	0330	1	4
00735	0335	1	10
00746	0014	0	1
00767	0333	1	17
00769	0336	1	4
00781	0334	1	10
00787	0331	1	2
00789	0329	1	3
00794	0337	1	11
00803	0332	1	2
00856	0339	1	25
00857	0340	1	13
00858	0025	0	1
00863	0342	1	3
00865	0341	1	5
00881	0016	0	1
00885	0338	1	3
00887	0018	0	1
00893	0017	0	1
00913	0015	0	1
00919	0019	0	1
00938	0343	1	4
00951	0708	1	2
00985	0345	1	10
00987	0344	1	24
01038	0020	0	1
01040	0346	1	2
01049	0347	1	30
01058	0348	1	2
01068	0021	0	1
01088	0022	0	1
01101	0349	1	3
01108	0353	1	3
01109	0352	1	14
01111	0351	1	13
01128	0350	1	32
01141	0031	0	1
01142	0023	0	1
01143	0359	1	2
01154	0358	1	6
01158	0357	1	2
01168	0360	1	2
01170	0361	1	8
01172	0356	1	7
01174	0026	0	1
01175	0354	1	25
01179	0355	1	2
01212	0033	0	1
01219	0362	1	11
01236	0363	1	15
01252	0364	1	2
01255	0027	0	1
01288	0030	0	1
01295	0029	0	1
01296	0366	1	5
01302	0365	1	6
01305	0367	1	8
01312	0032	0	1
01349	0369	1	2
01369	0368	1	2
01395	0771a	2	23
01395b	0771b	2	10
01412	0370	1	11
01427	0770a	2	2
01427b	0770b	2	1
01466	0371	1	2
01581	0372	1	18
01606	0034	0	1
01607	0373	1	16
01611	0772a	2	1
01611b	0772b	2	1
01623	0035	0	1
01639	0374	1	8
01641	0375	1	4
01654	0036	0	1
01659	0378	1	8
01666	0377	1	14
01682	0376	1	5
01683	0379	1	2
01726	0380	1	2
01748	0041	0	1
01755	0385	1	3
01789	0383	1	2
01796	0386	1	3
01798	0039	0	1
01816	0037	0	1
01818	0038	0	1
01823	0042	0	1
01831	0773a	2	1
01831b	0773b	2	1
01837	0384	1	2
01853	0040	0	1
01863	0382	1	3
01878	0520	1	6
01895	0381	1	2
01903	0043	0	1
01934	0387	1	2
01938	0388	1	28
01939	0389	1	9
01943	0044	0	1
01946	0390	1	36
01947	0392	1	17
01949	0391	1	6
01957	0045	0	1
01961	0393	1	3
01974	0046	0	1
02013	0058	0	1
02022	0394	1	23
02029	0397	1	3
02031	0398	1	45
02045	0399	1	21
02089	0047	0	1
02105	0471	1	5
02110	0396	1	10
02118	0049	0	1
02142	0395	1	37
02155	0400	1	2
02201	0048	0	1
02262	0401	1	36
02264	0050	0	1
02267	0051	0	1
02293	0052	0	1
02308	0412	1	7
02309	0409	1	8
02323	0408	1	2
02325	0054	0	1
02327	0053	0	1
02333	0056	0	1
02342	0403	1	2
02344	0055	0	1
02346	0774a	2	3
02346b	0774b	2	1
02349	0405	1	9
02355	0404	1	9
02361	0402	1	2
02366	0411	1	3
02390	0413	1	2
02392	0410	1	2
02396	0407	1	4
02407	0406	1	8
02425	0057	0	1
02429	0416	1	27
02430	0415	1	2
02436	0414	1	2
02439	0417	1	3
02440	0418	1	2
02464	0419	1	8
02469	0059	0	1
02473	0775a	2	34
02473b	0775b	2	2
02482	0422	1	2
02502	0060	0	1
02508	0421	1	22
02515	0420	1	7
02528	0423	1	2
02589	0062	0	1
02625	0061	0	1
02776	0063	0	1
02780	0424	1	2
02783	0425	1	18
02800	0065	0	1
02806	0429	1	2
02820	0426	1	11
02835	0428	1	17
02847	0427	1	9
02881	0064	0	1
02899	0430	1	2
02902	0431	1	2
02915	0066	0	1
02924	0139	0	1
02932	0435	1	3
02944	0433	1	6
02946	0432	1	4
02993	0434	1	5
03008	0238	0	1
03044	0068	0	1
03046	0069	0	1
03047	0067	0	1
03052	0436	1	6
03084	0437	1	3
03101	0438	1	5
03124	0442	1	21
03128	0440	1	7
03138	0439	1	13
03145	0443	1	43
03151	0444	1	9
03159	0441	1	13
03165	0446	1	3
03172	0445	1	25
03179	0448	1	19
03180	0451	1	2
03182	0080	0	1
03184	0070	0	1
03196	0073	0	1
03208	0465	1	2
03214	0449	1	31
03219	0072	0	1
03233	0462	1	3
03235	0074	0	1
03239	0458	1	6
03245	0460	1	2
03267	0457	1	5
03272	0082	0	1
03278	0077	0	1
03297	0454	1	2
03309	0076	0	1
03312	0447	1	6
03329	0453	1	4
03335	0459	1	4
03362	0467	1	3
03365	0078	0	1
03367	0777a	2	12
03367b	0777b	2	3
03372	0461	1	5
03395	0452	1	11
03402	0450	1	8
03439	0463	1	6
03458	0464	1	4
03462	0456	1	4
03469	0081	0	1
03486	0071	0	1
03534	0466	1	5
03544	0075	0	1
03550	0455	1	21
03610	0469	1	10
03611	0468	1	46
03612	0083	0	1
03617	0470	1	10
03645	0084	0	1
03647	0472	1	44
03652	0085	0	1
03659	0474	1	6
03706	0475	1	2
03729	0087	0	1
03757	0086	0	1
03761	0476	1	2
03780	0478	1	30
03783	0477	1	2
03835	0088	0	1
03855	0091	0	1
03858	0482	1	8
03875	0089	0	1
03880	0479	1	2
03896	0480	1	15
03939	0090	0	1
04009	0481	1	17
04075	0093	0	1
04082	0483	1	11
04087	0092	0	1
04233	0487	1	2
04243	0485	1	22
04261	0488a	3	2
04261b	0488b	3	2
04261c	0488c	3	1
04263	0486	1	2
04277	0094	0	1
04280	0793a	3	1
04280b	0793b	3	1
04280c	0793c	3	1
04286	0484	1	3
04296	0095	0	1
04298	0489	1	2
04319	0683	1	5
04339	0096	0	1
04381	0097	0	1
04385	0490	1	6
04389	0491	1	51
04391	0493	1	2
04398	0098	0	1
04406	0473	1	3
04446	0501	1	11
04450	0505	1	2
04453	0099	0	1
04480	0100	0	1
04485	0500	1	7
04499	0101	0	1
04505	0499	1	13
04512	0502	1	103
04523	0498	1	39
04557	0496	1	20
04569	0497	1	12
04621	0495	1	2
04650	0510	1	8
04651	0102	0	1
04657	0509	1	7
04660	0507	1	3
04661	0506	1	3
04667	0508	1	2
04673	0103	0	1
04674	0511	1	41
04679	0104	0	1
04707	0105	0	1
04711	0796	1	2
04712	0263	0	1
04713	0515	1	4
04765	0109	0	1
04775	0108	0	1
04806	0115	0	1
04807	0106	0	1
04817	0513	1	2
04821	0111	0	1
04838	0778a	2	3
04838b	0778b	2	2
04871	0107	0	1
04922	0516	1	3
04941	0110	0	1
05001	0113	0	1
05010	0512	1	2
05152	0114	0	1
05228	0518a	2	1
05228b	0518b	2	1
05279	0519	1	8
05293	0521	1	10
05323	0517	1	6
05580	0522	1	10
05587	0116	0	1
05639	0523a	2	3
05639b	0523b	2	1
05641	0118	0	1
05643	0524	1	8
05644	0525	1	31
05666	0526	1	4
05670	0119	0	1
05686	0527	1	2
05699	0528	1	2
05717	0120	0	1
05734	0529	1	2
05792	0531	1	2
05796	0134	0	1
05812	0530a	3	5
05812b	0530b	3	1
05812c	0530c	3	1
05834	0532a	2	13
05834b	0532b	2	3
05839	0533	1	5
05841	0534	1	6
05845	0580	1	10
05850	0121	0	1
05935	0779a	2	1
05935b	0779b	2	1
05947	0535	1	3
05952	0536	1	5
05964	0537	1	5
05983	0538	1	19
05986	0122	0	1
06023	0123	0	1
06031	0539	1	10
06045	0544	1	5
06052	0542	1	7
06058	0325	1	2
06074	0540	1	73
06086	0545	1	19
06088	0543	1	5
06096	0124	0	1
06151	0550	1	2
06173	0125	0	1
06175	0547	1	4
06182	0546	1	4
06189	0551	1	6
06192	0549	1	2
06272	0548	1	23
06285	0554	1	5
06290	0552	1	4
06374	0129	0	1
06432	0553	1	9
06476	0555	1	2
06480	0127	0	1
06494	0130	0	1
06517	0126	0	1
06554	0128	0	1
06571	0556	1	2
06617	0557	1	2
06776	0559	1	6
06792	0136	0	1
06801	0795	0	1
06835	0137	0	1
06847	0138	0	1
06872	0494	1	39
06885	0560	1	3
06918	0562	1	4
06921	0131	0	1
06957	0561	1	2
06969	0133	0	1
06971	0558	1	8
06978	0132	0	1
07032	0563	1	39
07035	0564	1	14
07043	0565	1	24
07065	0566	1	3
07074	0567	1	9
07080	0140	0	1
07086	0141	0	1
07091	0568	1	7
07112	0147	0	1
07125	0144	0	1
07139	0145	0	1
07192	0142	0	1
07198	0143	0	1
07212	0146	0	1
07241	0569	1	2
07259	0148	0	1
07262	0570	1	51
07281	0149	0	1
07290	0572	1	6
07291	0575	1	2
07304	0574	1	26
07336	0150	0	1
07397	0573	1	5
07456	0151	0	1
07457	0576	1	5
07461	0577	1	26
07479	0583	1	4
07483	0584	1	10
07501	0581	1	6
07503	0582	1	3
07513	0579	1	2
07522	0578	1	4
07530	0152	0	1
07535	0780a	2	22
07535b	0780b	2	12
07557	0222	0	1
07559	0153	0	1
07598	0586	1	5
07618x4	0585	1	2
07649	0154	0	1
07690	0155	0	1
07707	0587	1	8
07709	0588	1	27
07710	0589	1	17
07717	0590	1	10
07759	0593	1	4
07779	0592	1	7
07785	0591	1	3
07790	0595	1	4
07799	0781a	2	1
07799b	0781b	2	1
07801	0594	1	5
07813	0158	0	1
07827	0600	1	2
07839	0599	1	7
07843	0602	1	10
07844	0598	1	35
07857	0157	0	1
07868	0601	1	2
07878	0156	0	1
07907	0597	1	2
07910	0596	1	2
07941	0604	1	15
07948	0605	1	3
07986	0606	1	5
08057	0159	0	1
08097	0612	1	4
08107	0607	1	2
08116	0162	0	1
08124	0609	1	21
08143	0161	0	1
08148	0608	1	8
08162	0160	0	1
08165	0610	1	7
08166	0611a	2	5
08166b	0611b	2	3
08244	0614	1	15
08248	0613	1	2
08279	0163	0	1
08293	0615	1	2
08296	0616	1	11
08354	0618	1	2
08371	0617	1	5
08376	0164	0	1
08412	0620	1	2
08423	0165	0	1
08426	0619	1	41
08437	0167	0	1
08587	0166	0	1
08685	0621	1	5
08767	0168	0	1
08788	0170	0	1
08795	0625	1	4
08807	0171	0	1
08809	0172	0	1
08856	0782a	2	38
08856b	0782b	2	2
08889	0624a	2	1
08889b	0624b	2	1
08906	0623	1	2
08924	0169	0	1
08944	0783a	2	2
08944b	0783b	2	1
09017	0173	0	1
09020	0622	1	3
09085	0117	0	1
