00001	0407	1	28
00002	0411	1	14
00004	0409	1	3
00006	1043	1	3
00007	0408	1	22
00008	0412	1	14
00009	0410	1	8
00013	0413	1	51
00017	0416	1	9
00020	0001	0	1
00025	1044a	2	5
00025b	1044b	2	1
00027	0415	1	11
00051	0417	1	41
00069	0002	0	1
00070	0418	1	4
00078	0422	1	5
00088	0419	1	65
00092	0423	1	3
00102	0421	1	4
00104	0425	1	14
00107	0427	1	2
00108	0003	0	1
00109	0426	1	18
00113	0428	1	2
00121	0424	1	2
00128	0429	1	3
00129	0430	1	15
00132	0431	1	12
00133	0433	1	3
00135	0432	1	9
00136	0004	0	1
00150	0434	1	3
00153	0435	1	15
00154	1045a	2	6
00154b	1045b	2	1
00168	0436	1	57
00170	0438	1	2
00175	0439	1	6
00177	0440	1	5
00182	0005	0	1
00183	0006	0	1
00185	0007	0	1
00192	0441	1	3
00193	0442	1	7
00194	0443	1	35
00199	0444	1	3
00206	0445	1	2
00213	0446	1	8
00216	0447	1	2
00217	0448	1	2
00218	0449	1	2
00219	1046a	2	1
00219b	1046b	2	1
00228	0450	1	6
00230	0451	1	5
00233	0452	1	2
00235	0453	1	2
00240	0008	0	1
00243	0454	1	7
00246	0455	1	13
00250	0457	1	6
00253	0458	1	3
00255	0459	1	3
00256	1047a	2	14
00256b	1047b	2	1
00260	0456	1	9
00279	0460	1	50
00282	1048a	2	9
00282b	1048b	2	1
00287	0461	1	8
00288	0462	1	6
00301	0010	0	1
00316	0011	0	1
00321	0463	1	9
00338	1049a	2	1
00338b	1049b	2	1
00343	0012	0	1
00350	0464	1	11
00351	0013	0	1
00365	0465	1	7
00368	0014	0	1
00369	0466	1	2
00387	0015	0	1
00393	0467	1	9
00417	0016	0	1
00421	0468	1	2
00429	0469	1	3
00431	0017	0	1
00432	0018	0	1
00449	0470	1	3
00451	0019	0	1
00455	0471	1	4
00473	0472	1	5
00475	0020	0	1
00489	0473	1	2
00493	0021	0	1
00503	0474	1	2
00529	0022	0	1
00530	0475	1	2
00542	0023	0	1
00546	0024	0	1
00560	0025	0	1
00561	0477	1	29
00564	1050a	2	3
00564b	1050b	2	2
00566	0478	1	2
00574	0479	1	9
00582	0480	1	42
00585	0481	1	7
00589	0482	1	3
00591	0026	0	1
00594	0483	1	6
00596	0027	0	1
00597	0484	1	9
00599	0028	0	1
00602	0485	1	6
00605	0486	1	50
00606	0487	1	3
00608	0029	0	1
00616	0030	0	1
00629	0031	0	1
00646	0032	0	1
00662	0488	1	5
00696	0033	0	1
00701	1051a	2	1
00701b	1051b	2	1
00723	0489	1	7
00746	0034	0	1
00759	0035	0	1
