00001	0416	1	28
00002	0420	1	14
00004	0418	1	3
00006	0426	1	3
00007	0417	1	23
00008	0421	1	14
00009	0419	1	8
00013	0422	1	50
00017	0424	1	9
00020	0425	0	1
00025	1063a	2	4
00025b	1063b	2	2
00027	0423	1	10
00051	0427	1	43
00069	0001	0	1
00070	0428	1	4
00078	0432	1	5
00088	0429	1	67
00092	0433	1	6
00102	0431	1	5
00104	0435	1	14
00107	0437	1	3
00108	0002	0	1
00109	0436	1	20
00113	0438	1	2
00121	0434	1	2
00128	0439	1	4
00129	0440	1	15
00132	0441	1	13
00133	0443	1	3
00135	0442	1	9
00136	0003	0	1
00150	0444	1	3
00153	0445	1	15
00154	0446	1	8
00168	0447	1	58
00170	0449	1	2
00175	0450	1	6
00177	0451	1	5
00182	0004	0	1
00183	0005	0	1
00185	0006	0	1
00192	0452	1	4
00193	0453	1	7
00194	0454	1	37
00199	0455	1	3
00206	0456	1	3
00213	0457	1	8
00216	0007	0	1
00217	0458	1	2
00218	0008	0	1
00219	1064a	2	1
00219b	1064b	2	1
00228	0459	1	6
00230	0460	1	5
00233	0461	1	2
00235	0462	1	2
00240	0009	0	1
00243	0463	1	7
00246	0464	1	13
00250	0465	1	6
00253	0466	1	4
00255	0467	1	3
00256	0468	1	16
00260	0469	1	10
00278	0010	0	1
00279	0470	1	54
00282	0472	1	11
00287	0473	1	8
00288	0474	1	6
00301	0011	0	1
00316	0012	0	1
00321	0475	1	9
00338	0476	1	2
00343	0013	0	1
00350	0477	1	11
00351	0014	0	1
00365	0478	1	9
00368	0015	0	1
00369	1065a	2	1
00369b	1065b	2	1
00387	0016	0	1
00393	0479	1	9
00417	0017	0	1
00421	0480	1	2
00429	0481	1	3
00431	0018	0	1
00432	0019	0	1
00449	0482	1	3
00451	0020	0	1
00455	0483	1	5
00473	0484	1	4
00475	0022	0	1
00489	0485	1	2
00493	0023	0	1
00503	0486	1	2
00529	0024	0	1
00530	0487	1	2
00542	0025	0	1
00546	0026	0	1
00560	0027	0	1
00561	0488	1	30
00564	1066a	2	3
00564b	1066b	2	2
00566	0489	1	2
00574	0490	1	9
00582	0491	1	42
00585	0492	1	7
00589	0493	1	3
00591	0494	1	2
00594	0495	1	6
00596	0028	0	1
00597	0496	1	8
00599	0497	1	3
00602	0498	1	6
00605	0499	1	49
00606	0500	1	3
00608	0029	0	1
00616	0030	0	1
00629	0031	0	1
00646	0032	0	1
00662	0501	1	5
00696	0033	0	1
00701	1067a	2	1
00701b	1067b	2	1
00723	0502	1	6
00746	0034	0	1
00759	0035	0	1
00763	0503	1	2
00769	0036	0	1
00776	0504	1	3
00789	0037	0	1
00791	0505	1	2
00794	0506	1	8
00818	0038	0	1
00820	0039	0	1
00843	1068a	2	6
00843b	1068b	2	1
00856	0507	1	3
00857	0508	1	2
00858	0040	0	1
00863	0509	1	2
00864	0510	1	4
00879	0042	0	1
00887	0043	0	1
00890	0044	0	1
00893	0511	1	8
00894	0512	1	2
00898	0513	1	6
00911	0045	0	1
00913	0514	1	4
00919	0515	1	4
00941	0516	1	4
00953	0046	0	1
00975	0047	0	1
00983	0517	1	2
00985	0518	1	18
00987	0519	1	2
00988	0520	1	2
00992	0521	1	11
00994	0522	1	2
00997	0048	0	1
01004	0049	0	1
01007	0050	0	1
01010	0523	1	4
01033	0524	1	7
01040	0051	0	1
01049	0525	1	17
01068	0052	0	1
01079	0053	0	1
01101	0526	1	9
01104	0527	1	3
01108	1069a	2	5
01108b	1069b	2	1
01111	0528	1	4
01112	0054	0	1
01116	0055	0	1
01127	0529	1	12
01141	0056	0	1
01142	0530	1	9
01146	0057	0	1
01150	0531	1	3
01154	0532	1	14
01157	0058	0	1
01163	0059	0	1
01168	0533	1	3
01170	0534	1	2
01172	1070a	2	6
01172b	1070b	2	2
01174	0535	1	4
01175	0536	1	4
01176	0537	1	2
01178	1071a	2	1
01178b	1071b	2	1
01179	0538	1	5
01185	0539	1	6
01188	0060	0	1
01217	0540	1	6
01222	0541	1	16
01235	0542	1	2
01242	0543	1	2
01251	0544	1	4
01252	0545	1	8
01305	0061	0	1
01312	0062	0	1
01323	0063	0	1
01326	0064	0	1
01349	0065	0	1
01350	0546	1	3
01369	0547	1	7
01395	0548	1	3
01407	0066	0	1
01410	1072a	2	1
01410b	1072b	2	1
01421	0549	1	6
01422	0550	1	3
01430	1107a	4	3
01430b	1107b	4	1
01430c	1107c	4	1
01430d	1107d	4	1
01447	0067	0	1
01448	1110	1	2
01451	0068	0	1
01452	0551	1	2
01466	0069	0	1
01478	0070	0	1
01479	0552	1	2
01484	0071	0	1
01524	0072	0	1
01581	0073	0	1
01594	0553	1	2
01607	0554	1	12
01611	0074	0	1
01627	0555	1	2
01639	0556	1	33
01641	0557	1	3
01647	0558	1	2
01654	0559	1	3
01659	0560	1	2
01666	0561	1	8
01672	0562	1	6
01710	0563	1	2
01719	0076	0	1
01740	0564	1	6
01755	0565	1	5
01758	0566	1	2
01765	0567	1	2
01767	0075	0	1
01796	0568	1	4
01809	0079	0	1
01823	0569	1	2
01850	0570	1	5
01859	0077	0	1
01872	0078	0	1
01873	1073a	2	1
01873b	1073b	2	1
01903	0571	1	7
01904	0572	1	13
01909	0080	0	1
01913	1074a	2	1
01913b	1074b	2	1
01927	0573	1	6
01934	0574	1	2
01938	0575	1	9
01939	0576	1	8
01946	0577	1	115
01947	0580	1	44
01948	0581	1	6
01949	0582	1	10
01957	0583	1	2
01961	0584	1	11
01972	0081	0	1
01974	0585	1	8
01981	0586	1	3
02022	0587	1	9
02024	0083	0	1
02031	0588	1	13
02032	0589	1	4
02033	0590	1	2
02059	0591	1	3
02061	0592	1	2
02062	0085	0	1
02068	0084	0	1
02069	0593	1	16
02077	0594	1	4
02100	0082	0	1
02105	0595	1	3
02108	1075a	2	2
02108b	1075b	2	1
02110	0596	1	5
02116	0086	0	1
02142	0597	1	3
02149	0087	0	1
02155	0088	0	1
02175	0089	0	1
02203	0090	0	1
02262	0598	1	69
02264	0091	0	1
02282	0600	1	3
02293	0601	1	4
02294	0602	1	5
02306	0093	0	1
02307	0092	0	1
02308	0603	1	3
02309	0604	1	2
02322	0605	1	2
02323	0606	1	3
02325	0094	0	1
02327	0607	1	2
02331	0608	1	4
02332	0095	0	1
02342	0609	1	24
02344	0610	1	2
02346	1076a	2	2
02346b	1076b	2	1
02347	0096	0	1
02349	0611	1	14
02352	0102	0	1
