00001	0250	1	273
00004	0256	1	6
00007	0257	1	57
00008	0259	1	32
00009	0260	1	15
00013	0261	1	66
00025	0263	1	43
00026	0264	1	45
00051	0265	1	52
00068	0267	1	7
00070	0268	1	2
00078	0269	1	8
00085	0270	1	2
00088	0271	1	40
00093	0001	0	1
00100	0002	0	1
00102	0272	1	11
00107	0273	1	2
00118	0879a	2	5
00118b	0879b	2	1
00121	0003	0	1
00125	0274	1	7
00128	0275	1	4
00129	0276	1	9
00133	0277	1	28
00135	0278	1	4
00136	0004	0	1
00154	0880a	2	9
00154b	0880b	2	4
00168	0279	1	28
00175	0280	1	2
00183	0281	1	3
00193	0282	1	91
00194	0284	1	58
00199	0286	1	7
00213	0005	0	1
00217	0287	1	4
00218	0006	0	1
00219	0007	0	1
00236	0288	1	6
00240	0008	0	1
00241	0009	0	1
00243	0289	1	4
00245	0290	1	31
00250	0291	1	36
00255	0292	1	52
00256	0294	1	33
00279	0295	1	2
00282	0296	1	16
00299	0297	1	14
00301	0298	1	8
00317	0010	0	1
00321	0299	1	17
00324	0011	0	1
00345	0300	1	7
00373	0012	0	1
00385	0013	0	1
00421	0014	0	1
00429	0015	0	1
00475	0016	0	1
00489	0301	1	2
00503	0017	0	1
00516	0018	0	1
00520	0302	1	2
00542	0303	1	4
00562	0304	1	5
00566	0305	1	8
00567	0306	1	31
00570	0307	1	6
00579	0308	1	6
00582	0309	1	34
00585	0310	1	5
00594	0311	1	3
00597	0312	1	3
00599	0313	1	33
00605	0314	1	106
00606	0317	1	15
00616	0019	0	1
00646	0318	1	2
00696	0020	0	1
00723	0319	1	26
00734	0320	1	8
00735	0321	1	224
00754	0021	0	1
00759	0326	1	3
00763	0327	1	21
00767	0328	1	14
00769	0329	1	5
00781	0881a	2	11
00781b	0881b	2	5
00782	0330	1	2
00789	0331	1	5
00794	0332	1	9
00803	0333	1	3
00856	0334	1	17
00857	0335	1	22
00859	0336	1	2
00865	0337	1	4
00881	0338	1	2
00882	0022	0	1
00887	0339	1	3
00890	0023	0	1
00893	0340	1	11
00900	0341	1	3
00913	0024	0	1
00938	0342	1	12
00941	0025	0	1
00951	0343	1	14
00985	0344	1	22
00987	0345	1	19
01003	0026	0	1
01010	0346	1	7
01034	0347	1	2
01035	0027	0	1
01049	0348	1	5
01058	0349	1	2
01088	0350	1	8
01101	0351	1	7
01108	0352	1	6
01109	0353	1	5
01111	0354	1	15
01127	0355	1	4
