00001	0415	1	28
00002	0416	1	14
00004	0417	1	3
00006	0001	0	1
00007	0418	1	23
00008	0419	1	14
00009	0420	1	8
00013	0421	1	50
00017	0423	1	9
00020	0002	0	1
00025	1022a	2	4
00025b	1022b	2	2
00027	0422	1	10
00051	0424	1	43
00069	0003	0	1
00070	0425	1	4
00078	0428	1	5
00088	0426	1	69
00092	0429	1	3
00102	0430	1	5
00104	0431	1	14
00107	0432	1	3
00108	0004	0	1
00109	0433	1	20
00113	0434	1	2
00121	0435	1	2
00128	0436	1	4
00129	0437	1	17
00132	0438	1	13
00133	0440	1	4
00135	0439	1	9
00136	0005	0	1
00150	0441a	2	2
00150b	0441b	2	1
00153	0442a	2	8
00153b	0442b	2	7
00154	0443	1	8
00168	0444	1	57
00170	0446	1	2
00175	0447	1	6
00177	0448	1	5
00182	0006	0	1
00183	0007	0	1
00185	0008	0	1
00192	0449	1	4
00193	0450	1	7
00194	0451	1	37
00199	0452	1	3
00206	0453	1	3
00213	0454	1	8
00216	0009	0	1
00217	0455	1	2
00218	0010	0	1
00219	0456	1	2
00228	0457	1	6
00230	0458	1	5
00233	0459	1	2
00235	0460	1	2
00240	0011	0	1
00243	0461	1	7
00246	1023	1	13
00250	0462	1	6
00253	0463	1	4
00255	0464	1	3
00256	0465	1	16
00260	0471	1	9
00278	0012	0	1
00279	0466	1	54
00282	0468	1	12
00287	0469	1	8
00288	0470	1	6
00301	0013	0	1
00316	0014	0	1
00321	0472	1	9
00338	0473	1	2
00343	0015	0	1
00350	0474	1	11
00351	0016	0	1
00365	0475	1	9
00369	0476	1	2
00387	0017	0	1
00393	0477	1	9
00417	0018	0	1
00421	0478	1	2
00429	0479	1	3
00431	0019	0	1
00432	0020	0	1
00449	0480	1	3
00451	0021	0	1
00455	1024a	2	4
00455b	1024b	2	1
00473	0481	1	5
00475	0022	0	1
00489	0482	1	2
00493	0023	0	1
00503	0483	1	2
00529	0024	0	1
00530	1025a	2	1
00530b	1025b	2	1
00542	0025	0	1
00546	0026	0	1
00560	0027	0	1
00561	0486	1	30
00564	1026a	2	3
00564b	1026b	2	3
00566	0485	1	2
00574	1027	1	9
00582	0487	1	43
00585	0488	1	7
00589	0489	1	3
00591	0028	0	1
00594	0490	1	6
00596	0029	0	1
00597	0491	1	8
00599	0492	1	3
00602	0493	1	6
00605	0494	1	50
00606	0495	1	3
00608	0030	0	1
00616	0031	0	1
00629	0032	0	1
00646	0033	0	1
00662	0496	1	5
00696	0034	0	1
00701	0497	1	2
00723	0498	1	7
00746	0035	0	1
00759	0036	0	1
00763	0499	1	2
00769	0037	0	1
00776	0500	1	3
00789	0038	0	1
00791	0501	1	2
00794	0502	1	8
00818	0039	0	1
00820	0040	0	1
00843	1028a	2	5
00843b	1028b	2	2
00856	0503	1	3
00857	0504	1	2
00858	0041	0	1
00863	0505	1	2
00864	0506	1	4
00879	0043	0	1
00887	0044	0	1
00890	0045	0	1
00893	0507	1	8
00894	0508	1	2
00898	1029a	2	4
00898b	1029b	2	2
00911	0046	0	1
00913	0509	1	4
00919	0510	1	4
00941	0511	1	4
00953	0047	0	1
00983	0512	1	2
00985	0513	1	20
00987	0514	1	2
00992	0515	1	11
00994	0516	1	2
00997	0048	0	1
01004	0049	0	1
01007	0050	0	1
01010	0517	1	4
01033	1031a	2	4
01033b	1031b	2	3
01040	0051	0	1
01049	1030a	2	16
01049b	1030b	2	1
01068	0052	0	1
01079	0053	0	1
01101	0519	1	8
01104	0520	1	3
01108	1032a	2	5
01108b	1032b	2	1
01111	0521	1	4
01112	0054	0	1
01116	0055	0	1
01127	0522	1	12
01141	0056	0	1
01142	0523	1	9
01146	0057	0	1
01150	0524	1	3
01154	0525	1	14
01157	0058	0	1
01163	0059	0	1
01168	0526	1	3
01170	0527	1	2
01172	1033a	2	6
01172b	1033b	2	2
01174	0528	1	4
01175	0529	1	4
01176	0530	1	2
01178	0531	1	2
01179	0532	1	5
01185	1034a	2	4
01185b	1034b	2	2
01188	0060	0	1
01217	0533	1	6
01222	0534	1	16
01235	0535	1	2
01242	0536	1	2
01251	0537	1	2
01252	0538	1	7
01305	0061	0	1
01312	0062	0	1
01323	0063	0	1
01326	0064	0	1
01349	0065	0	1
01350	0539	1	3
01369	0540	1	7
01395	1035	1	3
01407	0066	0	1
01410	0541	1	2
01421	0542	1	6
01422	0543a	2	2
01422b	0543b	2	1
01430	0547	1	6
01447	0067	0	1
01448	0544	1	3
01451	0068	0	1
01452	0545	1	2
01466	0069	0	1
01478	0070	0	1
01479	0546	1	2
01484	0071	0	1
01524	0072	0	1
01581	0073	0	1
01607	0548	1	12
01611	0549	1	2
01627	0550	1	2
01639	0551	1	34
01641	0552	1	3
01647	0553	1	2
01654	0554	1	3
01659	0555	1	2
01666	0556	1	8
01672	0557	1	5
01710	0558	1	2
01740	0559	1	5
01755	0560	1	5
01758	0561	1	2
01765	0562	1	2
01767	0075	0	1
01796	1036a	2	3
01796b	1036b	2	1
01823	0563	1	2
01850	0564	1	5
01859	0076	0	1
01872	0077	0	1
01873	0565	1	2
01903	0566	1	7
01904	0567	1	12
01909	0078	0	1
01913	1037a	2	1
01913b	1037b	2	1
01927	1038a	2	5
