00001	0038	1	43
00004	0039	1	37
00007	0040	1	131
00008	0043	1	20
00009	0044	1	4
00013	0045	1	63
00025	0001	0	1
00051	0047	1	5
00107	0048	1	17
00129	0049	1	132
00135	0052	1	34
00154	0205a	2	60
00154b	0205b	2	2
00183	0053	1	2
00193	0054	1	2
00194	0055	1	169
00236	0002	0	1
00240	0003	0	1
00243	0059	1	2
00245	0060	1	4
00250	0061	1	20
00255	0062	1	2
00256	0063	1	60
00282	0065a	2	1
00282b	0065b	2	1
00301	0066	1	139
00582	0004	0	1
00594	0069	1	41
00597	0070	1	21
00606	0005	0	1
00734	0071	1	16
00735	0072	1	2
00759	0240a	3	41
00759b	0240b	3	22
00759c	0240c	3	1
00794	0073	1	20
00893	0207a	2	38
00893b	0207b	2	3
00985	0074	1	100
01049	0076	1	46
01111	0077	1	22
01128	0078	1	2
01143	0208a	2	33
01143b	0208b	2	1
01154	0006	0	1
01168	0007	0	1
01179	0079	1	7
01242	0080	1	85
01349	0082	1	2
01369	0083	1	17
01412	0084	1	8
01421	0008	0	1
01607	0085	1	192
01611	0089	1	40
01659	0009	0	1
01666	0209a	2	22
01666b	0209b	2	1
01853	0090	1	2
01938	0091	1	4
01946	0010	0	1
02031	0092	1	7
02293	0093	1	6
02325	0011	0	1
02355	0094	1	4
02440	0095	1	19
02464	0096	1	13
02783	0012	0	1
02915	0097	1	2
02993	0013	0	1
03124	0098	1	60
03138	0100	1	17
03145	0101	1	32
03157	0102	1	36
03179	0103	1	2
03214	0104	1	4
03244	0014	0	1
03373	0105	1	49
03462	0106	1	2
03466	0245a	4	141
03466b	0245b	4	25
03466c	0245c	4	4
03466d	0245d	4	2
03550	0107	1	92
03610	0109	1	13
03617	0015	0	1
03647	0210a	2	246
03647b	0210b	2	11
03835	0110	1	27
04243	0111	1	3
04389	0216a	2	4
04389b	0216b	2	1
04523	0112	1	7
04569	0113	1	41
04674	0114	1	237
04711	0119	1	2
04713	0016	0	1
04806	0120	1	6
04848	0121	1	2
05010	0017	0	1
05161	0122	1	8
05558	0018	0	1
05580	0123	1	4
05643	0019	0	1
05644	0124	1	99
05692	0020	0	1
06074	0126	1	9
06151	0217a	2	2
06151b	0217b	2	1
06272	0127	1	178
06313	0218a	2	1
06313b	0218b	2	1
06432	0219a	2	3
06432b	0219b	2	2
06487	0131	1	157
06499	0135	1	5
06517	0021	0	1
06872	0136	1	500
07032	0146	1	168
07043	0150	1	6
07086	0022	0	1
07230	0023	0	1
07304	0024	0	1
07461	0151	1	6
07501	0152	1	2
07717	0153	1	8
07779	0154	1	22
07801	0155	1	83
08077	0220a	2	63
08077b	0220b	2	1
08296	0157	1	27
08412	0158	1	83
08426	0222a	2	201
08426b	0222b	2	38
08437	0160	1	17
08924	0161	1	132
09144	0164	1	6
09177	0227a	2	6
09177b	0227b	2	2
09255	0165	1	46
09264	0166	1	71
09292	0025	0	1
09315	0026	0	1
09328	0027	0	1
09462	0168	1	3
09463	0228a	2	77
09463b	0228b	2	2
09602	0169	1	21
09610	0170	1	145
09716	0230a	2	71
09716b	0230b	2	9
09788	0173	1	22
10270	0174	1	157
10614	0028	0	1
10714	0029	0	1
10856	0030	0	1
10860	0031	0	1
10875	0242a	3	140
10875b	0242b	3	1
10875c	0242c	3	1
10928	0178	1	10
10967	0179	1	9
11025	0180	1	2
11028	0032	0	1
11051	0181	1	27
11085	0182	1	2
11095	0183	1	126
11155	0033	0	1
11171	0186	1	16
11461	0187	1	2
11715	0034	0	1
11982	0188	1	2
12000	0189	1	67
12108	0191	1	2
12115	0232a	3	39
12115b	0232b	3	3
12115c	0232c	3	1
12139	0192	1	23
12176	0035	0	1
12376	0193	1	36
12724	0233a	2	87
12724b	0233b	2	5
12830	0194	1	5
12855	0036	0	1
12927	0235a	2	25
12927b	0235b	2	2
13001	0195	1	3
13103	0236a	2	159
13103b	0236b	2	13
13104	0196	1	148
13302	0199	1	2
13313	0200	1	3
13316	0201	1	2
13325	0202	1	4
13391	0203	1	37
13565	0204	1	4
14655	0037	0	1
