00001	0189	1	55
00004	0001	0	1
00007	0191	1	33
00008	0192	1	12
00009	0193	1	5
00013	0194	1	106
00025	0197	1	21
00051	0198	1	51
00059	0200	1	2
00078	0201	1	25
00085	0002	0	1
00088	0202	1	19
00093	0203	1	3
00102	0204	1	12
00107	0205	1	6
00121	0753a	3	5
00121b	0753b	3	2
00121c	0753c	3	1
00125	0206	1	13
00128	0207	1	28
00129	0208	1	33
00133	0209	1	52
00134	0003	0	1
00135	0211	1	10
00154	0212	1	18
00168	0213	1	4
00175	0214	1	23
00183	0215	1	17
00193	0216	1	31
00194	0217	1	34
00206	0218	1	3
00233	0219	1	6
00235	0220	1	8
00236	0221	1	15
00243	0004	0	1
00244	0005	0	1
00245	0222	1	55
00250	0224	1	63
00255	0226	1	6
00256	0227a	2	40
00256b	0227b	2	11
00282	0229	1	11
00301	0230	1	14
00316	0231	1	2
00321	0232	1	18
00338	0233	1	3
00345	0234	1	10
00350	0703a	2	3
00350b	0703b	2	1
00373	0235	1	4
00387	0006	0	1
00405	0236a	2	3
00405b	0236b	2	1
00411	0007	0	1
00503	0008	0	1
00516	0704a	2	9
00516b	0704b	2	3
00524	0009	0	1
00561	0010	0	1
00562	0011	0	1
00566	0237	1	9
00567	0012	0	1
00582	0238	1	3
00585	0239	1	28
00597	0240	1	11
00599	0241	1	9
00605	0242	1	48
00606	0243	1	3
00648	0244	1	2
00701	0013	0	1
00723	0705a	2	3
00723b	0705b	2	1
00729	0014	0	1
00734	0245	1	28
00735	0246	1	15
00759	0706a	2	7
00759b	0706b	2	2
00763	0247	1	24
00767	0248	1	12
00769	0015	0	1
00782	0016	0	1
00789	0249	1	4
00794	0250	1	8
00856	0251	1	21
00857	0252	1	8
00858	0253	1	10
00859	0017	0	1
00881	0254	1	2
00887	0255	1	3
00893	0256a	2	30
00893b	0256b	2	3
00900	0707a	2	7
00900b	0707b	2	2
00911	0708a	2	4
00911b	0708b	2	1
00938	0018	0	1
00968	0257	1	3
01010	0019	0	1
01040	0020	0	1
01049	0258a	2	11
01049b	0258b	2	8
01088	0021	0	1
01101	0259	1	7
01108	0260	1	20
01111	0261	1	27
01127	0262	1	12
01128	0263	1	19
01143	0022	0	1
01154	0264	1	13
01158	0265	1	2
01170	0266	1	2
01174	0267	1	12
01175	0268	1	117
01178	0271	1	2
01179	0023	0	1
01187	0024	0	1
01219	0025	0	1
01235	0272	1	6
01242	0026	0	1
01252	0027	0	1
01263	0028	0	1
01295	0029	0	1
01296	0273	1	58
01305	0275	1	2
01349	0709a	2	12
01349b	0709b	2	4
01369	0276	1	21
01395	0277a	2	26
01395b	0277b	2	4
01412	0710a	2	9
01412b	0710b	2	1
01455	0030	0	1
01466	0031	0	1
01503	0278	1	4
01581	0279	1	3
01607	0280	1	28
01611	0281	1	17
01627	0282	1	2
01639	0032	0	1
01644	0033	0	1
01645	0283	1	18
01659	0284	1	20
01666	0285	1	14
01682	0286	1	13
01755	0034	0	1
01767	0035	0	1
01808	0036	0	1
01839	0287	1	31
01853	0288	1	13
01863	0289	1	4
01895	0290	1	13
01913	0037	0	1
01934	0291	1	24
01938	0292	1	9
01939	0293	1	6
01946	0294	1	14
01947	0038	0	1
01957	0295	1	5
01974	0296	1	2
02006	0297	1	5
02022	0298	1	3
02031	0299	1	148
02045	0302	1	2
02059	0040	0	1
02068	0039	0	1
02069	0303	1	6
02077	0304	1	19
02078	0305	1	2
02105	0306	1	9
02262	0307	1	3
02267	0041	0	1
02293	0308	1	5
02309	0309	1	32
02325	0310	1	15
02332	0311	1	3
02333	0312	1	7
02346	0313	1	3
02347	0314	1	6
02349	0315a	2	3
02349b	0315b	2	1
02357	0316	1	11
02383	0317a	2	10
02383b	0317b	2	1
02388	0318	1	2
02390	0319	1	12
02395	0320	1	14
02425	0042	0	1
02426	0321	1	6
02429	0322	1	5
02430	0323	1	96
02435	0325	1	3
02436	0043	0	1
02439	0326	1	2
02440	0327	1	5
02446	0044	0	1
02464	0328	1	7
02469	0329	1	3
02482	0330	1	3
02485	0711a	2	1
02485b	0711b	2	1
02489	0331	1	9
02515	0045	0	1
02528	0332	1	2
02757	0333	1	2
02774	0046	0	1
02775	0334	1	2
02780	0712a	2	9
02780b	0712b	2	8
02782	0335	1	2
02783	0336	1	31
02835	0337a	2	6
02835b	0337b	2	5
02847	0338	1	10
02899	0339	1	5
02900	0340	1	3
02924	0108	0	1
02944	0341a	2	3
02944b	0341b	2	3
02946	0047	0	1
02963	0342	1	7
02993	0343	1	8
03006	0344	1	4
03017	0345	1	2
03044	0346	1	5
03052	0347	1	2
03101	0348	1	6
03124	0349	1	58
03128	0351	1	2
03132	0352	1	4
03137	0713a	2	2
03137b	0713b	2	1
03138	0353a	2	10
03138b	0353b	2	1
03145	0354	1	28
03151	0355	1	9
03157	0653	1	10
03159	0356	1	32
03165	0048	0	1
03172	0357	1	3
03179	0358	1	59
03184	0360	1	3
03208	0049	0	1
03214	0361	1	20
03233	0362	1	3
03239	0363	1	113
03241	0050	0	1
03244	0366	1	37
03245	0714a	2	8
03245b	0714b	2	6
03267	0051	0	1
03272	0367	1	2
03278	0715a	2	3
03278b	0715b	2	2
03297	0716a	2	3
03297b	0716b	2	1
03298	0368	1	2
03309	0369	1	10
03312	0371	1	2
03326	0372	1	2
03329	0373	1	4
03335	0374	1	2
03348	0375	1	12
03355	0052	0	1
03365	0376	1	8
03367	0717a	2	5
03367b	0717b	2	3
03372	0377	1	13
03373	0370	1	3
03383	0053	0	1
03387	0054	0	1
03395	0378	1	35
03402	0718a	2	16
03402b	0718b	2	2
03404	0055	0	1
03405	0379	1	2
03414	0056	0	1
03439	0380a	2	14
03439b	0380b	2	4
03450	0057	0	1
03458	0381	1	2
03462	0382	1	4
03466	0383	1	2
03469	0384	1	2
03474	0385	1	3
03486	0386	1	2
03504	0058	0	1
03534	0387	1	2
03549	0059	0	1
03550	0388	1	62
03585	0060	0	1
03610	0390	1	17
03611	0719a	2	26
03611b	0719b	2	1
03612	0391	1	3
03617	0392	1	41
03647	0393	1	121
03659	0061	0	1
03666	0396	1	2
03711	0062	0	1
03751	0063	0	1
03780	0397	1	13
03798	0398a	2	1
03798b	0398b	2	1
03835	0399	1	2
03855	0064	0	1
03858	0065	0	1
03878	0066	0	1
03880	0400	1	4
03896	0067	0	1
03904	0401	1	2
04009	0402	1	9
04029	0068	0	1
04085	0403a	2	10
04085b	0403b	2	2
04142	0404	1	5
04192	0405	1	17
04216	0406	1	7
04233	0407	1	4
04243	0408	1	55
04261	0410	1	11
04280	0411	1	17
04286	0412	1	5
04293	0069	0	1
04298	0413	1	16
04309	0070	0	1
04319	0414a	2	11
04319b	0414b	2	1
04381	0720a	2	12
04381b	0720b	2	2
04385	0415	1	10
04389	0416	1	125
04391	0419	1	3
04442	0420	1	5
04446	0421	1	4
04485	0422	1	4
04489	0423	1	2
04512	0424	1	189
04523	0722a	2	30
04523b	0722b	2	4
04542	0428	1	3
04569	0429	1	9
04603	0430	1	4
04608	0721a	2	1
04608b	0721b	2	1
04623	0431	1	3
04640	0432	1	2
04650	0071	0	1
04651	0433	1	3
04654	0434	1	2
04661	0435	1	3
04664	0754a	3	10
04664b	0754b	3	5
04664c	0754c	3	4
04674	0436	1	106
04679	0072	0	1
04707	0439	1	2
04711	0440	1	18
04713	0441	1	4
04725	0073	0	1
04775	0075	0	1
04803	0442	1	6
04806	0443	1	2
04807	0074	0	1
04821	0076	0	1
04848	0444	1	3
04849	0445	1	4
04922	0446	1	18
04985	0077	0	1
05001	0078	0	1
05010	0447	1	3
05014	0448a	2	2
05014b	0448b	2	1
05152	0449	1	5
05161	0450	1	18
05228	0451	1	4
05279	0452	1	46
05323	0453	1	5
